code_parent,code_parent_desc,count(*)
ESP10,R Sémard les Estudines,4
ESP100,Arrèt tram La Bruyère Pl ouest,10
ESP1000,Sq Villebois,22
ESP1001,Terrain d'aventure R Repos,16
ESP1002,Pl André Charpin,8
ESP1003,Pl Joseph Riboud,3
ESP1004,R du Repos locaux des sports,18
ESP1005,R Ninon Vallin park,11
ESP1006,R R Descartes,10
ESP1007,R Marius Riollet cité rouge,3
ESP1008,R Robespierre tennis plein air,16
ESP1009,Av J O caisse d'épargne,4
ESP101,Av LBruyère Reynoard Peupliers,13
ESP1010,Biblio Abbaye les Bains,4
ESP1011,Prc Mis stab nord ann vitesse,27
ESP1012,Prc Mis Jard alpin stab Sud,30
ESP1013,R de la Houille Blanche,6
ESP1014,Bd Foch Tram cdt Rozan Jaures,21
ESP1015,Ec mat Painlevé 21 Rh Danube,14
ESP1016,Av Berthelot Malifaut G Lussac,28
ESP1017,Av Berthelot lycée Guynemer,18
ESP1018,R Jacquard Kenedy à Louvois,13
ESP1019,R J Giono Jacquard à Louvois,12
ESP102,R M Bourette partie minérale,10
ESP1020,R DrBordier impair,15
ESP1021,Voie E O zone éduc routière,17
ESP1022,R Marquian MIN,52
ESP1023,R Gén Mangin Alliés Jacquart,21
ESP1024,Caser Bonne Espl A Leray  Sud,46
ESP1025,Pl de Verdun,12
ESP1026,R Marceau Pl Maginot Frenay,4
ESP1027,Ave St Roch ang Prudhomme,20
ESP1028,Chem de Halage désinfection ,1
ESP1029,Pl du Grésivaudan,5
ESP103,A A Lorraine la Gare à Jaures,16
ESP1030,Jard Hoche Ouest stabilisé pel,68
ESP1031,R Cdt l'Herminier,7
ESP1032,Parc 1 Michalon R Massena,4
ESP1033,Parc 1 Michalon centre,68
ESP1034,Parc 2 R Hermin M Leclerq,32
ESP1035,Parc 2 R Hermin Cöte Sud,8
ESP1036,Bd J Pain Vallier Dauphins,25
ESP1037,Ec prim P Bert 07 Pl Girard,13
ESP1038,Jard Plantes centre,52
ESP1039,Halte gard mutualité exterieur,10
ESP104,Pl St Bruno foyer pers âgées,5
ESP1040,Halte garderie Mutualité,15
ESP1041,Crs Libération Vaujany Rondeau,13
ESP1042,Cité Mistral R A Thomas park,21
ESP1043,R A France Barral Renavent,12
ESP1044,Cité Mistral Ouest gr scolaire,34
ESP1045,Cité Mistral derr garderie,12
ESP1046,R Arts de montagne derr tennis,4
ESP1047,R Arts de montagne face 9 à 13,13
ESP1048,Prc Mis Jard alpin pel sud bas,17
ESP1049,R Gén Mangin Hôtel Mercure,13
ESP105,Ecole prim Vallier R Greffier,14
ESP1050,Pl P Mistral sépar central,14
ESP1051,Prc Mis Tr Perret Pel SudOuest,26
ESP1052,Prc Mis Tr Perret pel Sud/Est,19
ESP1053,R L Jouhaux de J Bart au n 88,23
ESP1054,Prc Mis pelouse Sud Est tunnel,23
ESP1056,Pl Salvatore Allende,23
ESP1057,R Kaunas P Cocat à Manteyer,13
ESP1058,Prc Echangeurs amphi Nord,44
ESP1059,Halte gard Abbaye Jouhaux ext,5
ESP106,Ave F Viallet Gambetta Belg,16
ESP1060,Impasse Clément Ader,13
ESP1061,Cité Ab Chatelet Duguesclin 2,3
ESP1062,Cité Moyrand R Dupleix impair,6
ESP1063,Pl Laurent Bonnevay,8
ESP1064,Ec prim du Grand Chatelet n 36,22
ESP1065,Halte gard Abbaye Jouhaux int,2
ESP1066,Centre social Elie Cartan,1
ESP1067,R Turgot Lemaitre à Malherbe,10
ESP1068,R J Bart impair,13
ESP1069,Ave Fenelon n 15 et 17,5
ESP107,Ecole prim J Jaurès n 09,6
ESP1070,Av Berthelot crêche Malherbe,2
ESP1071,R Andrieux James au rond point,8
ESP1072,R Gén Durand ang J Perrot,1
ESP1073,Sq L Blum ang Stalingrad ,26
ESP1074,Stade Lesdiguières,70
ESP1075,Av Rh Danube Vallier E Claires,20
ESP1076,Pc Savane le long Rh Danube,18
ESP1077,Pc Savane entrée Ronserail Nor,16
ESP1078,Parc de la Savane Sud,11
ESP1079,Pt Catane Sud align Tram,6
ESP108,Jard des Dauphins le labo,17
ESP1080,Sq Ch Péguy,18
ESP1081,Crêche Saint Bruno,10
ESP1082,Av J O nord Mantayer 140 RIA,1
ESP1083,Av Champon Diabl bleus Bougaut,17
ESP1084,Av Berthelot pair ang Peretto,8
ESP1085,Av Berthelot IUFM à voie E-O,22
ESP1086,R Gén Mangin 39-41,21
ESP1087,R Jacquard Kennedy à Mangin,7
ESP1088,R L Lagrange face école,21
ESP1089,Prc Pompidou abords boulodrome,29
ESP109,R François Raoult,13
ESP1090,Prc Pompidou long voie ferrée,198
ESP1091,Voie E O cote voie ferree,227
ESP1092,R Stalingrad le marché,7
ESP1093,Pc Pompidou al du parc face 01,3
ESP1094,Av Grande Chartreuse pair,14
ESP1095,Ave du Grand Serre impair,15
ESP1096,R Cdt de Reynies,8
ESP1097,Ch Gordes pourtour gym Munch,29
ESP1098,Bd Foch Mangin à Ferrié,11
ESP1099,Chem des Essarts,2
ESP11,R Esclangon Sémard à Vercors,18
ESP110,Pc 3 H St Ferjus ch de Ronde,10
ESP1100,Pc Ch Elysés ang Nal,16
ESP1101,Ch Collège école du Lac ,22
ESP1102,Gal Arlequin 70 cote parc,42
ESP1103,Tr quartiers gymn de la rampe,31
ESP1104,Tr quartiers pa 74 constantine,26
ESP1105,Tr quartiers Res gentianes,1
ESP1106,Butte n 04 toboggan,65
ESP1107,Ec la fontaine,25
ESP1108,R Esmonin sép face Carrefour,54
ESP111,Sq du 19 mars 1962,5
ESP1110,Av Reynoard sép VO a Musset,50
ESP1111,Av Reynoard sép Musset à URSAF,33
ESP1112,Res J Brel contre silo,9
ESP1113,R du Trident park et abords,9
ESP1114,R R Fernandat,10
ESP1115,R Turgot n 05 Pltte,3
ESP1116,Allée de la Sylphide pair,21
ESP1117,Pl L Jouvet derrière 22 à 24,7
ESP1118,R Musset de Pupin à Reynoard,25
ESP1119,R A Vigny Staling Romantiques,12
